"Name","Type","Uri","Path","Depth","Contained"
"dashboardCards","teamsAppDashboardCardDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","6","True"
"members","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/members","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/members","4","True"
"messages","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages","4","True"
"hostedContents","chatMessageHostedContent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages/{id}/hostedContents","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages/{id}/hostedContents","5","True"
"replies","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages/{id}/replies","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/messages/{id}/replies","5","True"
"sharedWithTeams","sharedWithChannelTeamInfo","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/sharedWithTeams","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/sharedWithTeams","4","True"
"allowedMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/sharedWithTeams/{id}/allowedMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/sharedWithTeams/{id}/allowedMembers","5","False"
"tabs","teamsTab","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/tabs","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/tabs","4","True"
"installedApps","teamsAppInstallation","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/installedApps","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/installedApps","3","True"
"members","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/members","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/members","3","True"
"operations","teamsAsyncOperation","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/operations","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/operations","3","True"
"owners","user","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/owners","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/owners","3","False"
"permissionGrants","resourceSpecificPermissionGrant","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/permissionGrants","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/permissionGrants","3","True"
"tags","teamworkTag","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/tags","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/tags","3","True"
